Team1,Team1_Seed,Team1_Score,Team2,Team2_Seed,Team2_Score,WinningTeam,Team1_Win
Gonzaga,1,98.0,Norfolk State,16,55.0,Gonzaga,True
Oklahoma,8,72.0,Missouri,9,68.0,Oklahoma,True
Creighton,5,63.0,UC Santa Barbara,12,62.0,Creighton,True
Virginia,4,58.0,Ohio,13,62.0,Ohio,False
USC,6,72.0,Drake,11,56.0,USC,True
Kansas,3,93.0,Eastern Washington,14,84.0,Kansas,True
Oregon,7,,VCU,16,,Oregon,True
Iowa,2,86.0,Grand Canyon,15,74.0,Iowa,True
Michigan,1,82.0,Texas Southern,16,66.0,Michigan,True
LSU,8,76.0,St. Bonaventure,9,61.0,LSU,True
Colorado,5,96.0,Georgetown,12,73.0,Colorado,True
Florida State,4,64.0,UNC Greensboro,13,54.0,Florida State,True
BYU,6,62.0,UCLA,11,73.0,UCLA,False
Texas,3,52.0,Abilene Christian,14,53.0,Abilene Christian,False
UConn,7,54.0,Maryland,10,63.0,Maryland,False
Alabama,2,68.0,Iona,15,55.0,Alabama,True
Baylor,1,79.0,Hartford,16,55.0,Baylor,True
North Carolina,8,62.0,Wisconsin,9,85.0,Wisconsin,False
Villanova,5,73.0,Winthrop,12,63.0,Villanova,True
Purdue,4,69.0,North Texas,13,78.0,North Texas,False
Texas Tech,6,65.0,Utah State,11,53.0,Texas Tech,True
Arkansas,3,85.0,Colgate,14,68.0,Arkansas,True
Florida,7,75.0,Virginia Tech,10,70.0,Florida,True
Ohio State,2,72.0,Oral Roberts,15,75.0,Oral Roberts,False
Illinois,1,78.0,Drexel,16,49.0,Illinois,True
Loyola Chicago,8,71.0,Georgia Tech,9,60.0,Loyola Chicago,True
Tennessee,5,56.0,Oregon State,12,70.0,Oregon State,False
Oklahoma State,4,69.0,Liberty,13,60.0,Oklahoma State,True
San Diego State,6,62.0,Syracuse,11,78.0,Syracuse,False
West Virginia,3,84.0,Morehead State,14,67.0,West Virginia,True
Clemson,7,56.0,Rutgers,10,60.0,Rutgers,False
Houston,2,87.0,Cleveland State,15,56.0,Houston,True
Gonzaga,1,87.0,Oklahoma,8,71.0,Gonzaga,True
Creighton,5,72.0,Ohio,13,58.0,Creighton,True
USC,6,85.0,Kansas,3,51.0,USC,True
Oregon,7,95.0,Iowa,2,80.0,Oregon,True
Michigan,1,86.0,LSU,8,78.0,Michigan,True
Colorado,5,53.0,Florida State,4,71.0,Florida State,False
UCLA,11,67.0,Abilene Christian,14,47.0,UCLA,True
Maryland,10,77.0,Alabama,2,96.0,Alabama,False
Baylor,1,76.0,Wisconsin,9,63.0,Baylor,True
Villanova,5,84.0,North Texas,13,61.0,Villanova,True
Texas Tech,6,66.0,Arkansas,3,68.0,Arkansas,False
Florida,7,78.0,Oral Roberts,15,81.0,Oral Roberts,False
Illinois,1,58.0,Loyola Chicago,8,71.0,Loyola Chicago,False
Oregon State,12,80.0,Oklahoma State,4,70.0,Oregon State,True
Syracuse,11,75.0,West Virginia,3,72.0,Syracuse,True
Rutgers,10,60.0,Houston,2,63.0,Houston,False
Gonzaga,1,83.0,Creighton,5,65.0,Gonzaga,True
USC,6,82.0,Oregon,7,68.0,USC,True
Michigan,1,76.0,Florida State,4,58.0,Michigan,True
UCLA,11,88.0,Alabama,2,78.0,UCLA,True
Baylor,1,62.0,Villanova,5,51.0,Baylor,True
Arkansas,3,72.0,Oral Roberts,15,70.0,Arkansas,True
Loyola Chicago,8,58.0,Oregon State,12,65.0,Oregon State,False
Syracuse,11,46.0,Houston,2,62.0,Houston,False
Gonzaga,1,85.0,USC,6,66.0,Gonzaga,True
Michigan,1,49.0,UCLA,11,51.0,UCLA,False
Baylor,1,81.0,Arkansas,3,72.0,Baylor,True
Oregon State,12,61.0,Houston,2,67.0,Houston,False
Gonzaga,1,93.0,UCLA,11,90.0,Gonzaga,True
Baylor,1,78.0,Houston,2,59.0,Baylor,True
Gonzaga,1,70.0,Baylor,1,86.0,Baylor,False
